movie_id,genre_id
1,1
1,2
1,3
1,4
2,1
2,2
2,3
3,1
3,2
3,5
4,1
4,5
5,6
6,1
6,2
6,4
7,1
7,2
7,7
8,2
8,8
8,9
8,10
8,3
8,11
8,7
9,1
9,2
9,4
10,2
10,10
10,3
10,12
11,1
11,2
11,4
12,1
12,2
12,4
13,1
13,2
14,1
14,2
14,3
15,1
15,2
15,13
16,1
16,2
16,3
16,4
17,1
17,2
17,10
17,3
18,1
18,2
18,4
19,1
19,2
19,3
20,1
20,2
20,9
20,10
20,3
20,4
21,2
21,3
22,1
22,2
22,3
23,1
23,2
23,14
23,15
24,2
24,3
25,2
25,10
25,3
26,1
26,2
26,14
26,7
27,14
27,7
28,1
28,2
28,4
29,1
29,2
29,4
29,5
30,1
30,2
30,4
30,5
31,1
31,2
31,5
32,1
32,2
32,3
32,7
33,1
33,2
33,4
34,2
34,10
34,3
35,1
35,2
35,3
35,4
35,5
36,2
36,8
36,9
36,10
36,3
37,1
37,2
37,4
38,1
38,2
38,4
39,2
39,10
39,3
40,1
40,2
40,3
40,4
41,1
41,2
41,4
42,2
42,8
42,9
42,10
42,16
43,1
43,2
43,4
44,2
44,8
44,9
44,10
44,3
45,1
45,2
45,4
46,1
46,17
46,5
47,1
47,2
47,18
47,4
47,5
48,1
48,2
48,3
48,4
48,5
49,1
49,2
49,4
50,2
50,3
51,14
51,7
52,1
52,2
52,3
52,7
53,1
53,2
53,4
54,1
54,2
54,4
55,1
55,2
55,3
56,2
56,8
56,9
56,10
56,3
57,2
57,8
57,9
57,10
57,3
58,1
58,2
58,4
58,5
59,2
59,8
59,10
59,4
60,1
60,9
60,17
60,5
61,1
61,2
61,4
62,8
62,14
62,10
62,3
63,1
63,2
63,4
64,1
64,2
64,14
64,7
65,2
65,10
65,3
66,1
66,2
66,4
67,1
67,17
67,14
67,5
68,2
68,8
68,9
68,10
69,1
69,2
69,8
69,9
69,10
69,4
70,1
70,2
70,4
71,2
71,14
71,10
71,12
72,1
72,9
72,4
72,13
73,1
73,2
73,3
73,18
73,5
74,1
74,2
74,9
74,4
75,9
75,10
75,3
76,1
76,2
76,4
77,1
77,2
77,4
77,5
78,1
78,2
78,4
78,5
79,2
79,8
79,9
79,14
79,10
79,3
80,2
80,14
80,10
80,3
81,1
81,2
81,4
82,1
82,2
82,14
82,3
83,1
83,2
83,10
83,3
83,7
84,1
84,2
84,14
84,4
85,1
85,2
85,7
85,4
86,1
86,2
86,14
86,3
87,1
87,2
87,4
88,2
88,8
88,9
88,10
88,3
89,1
89,2
89,10
89,12
89,4
90,1
90,2
90,8
90,9
90,14
90,10
90,4
91,2
91,8
91,9
91,10
91,4
92,2
92,8
92,10
92,3
93,1
93,2
93,4
94,2
94,8
94,10
94,3
95,1
95,4
96,1
96,2
96,4
97,2
97,14
97,4
98,1
98,2
98,4
98,5
99,1
99,2
99,14
99,18
99,4
100,2
100,3
101,1
101,17
101,5
102,14
102,3
102,7
103,1
103,2
103,4
104,2
104,4
105,1
105,2
105,10
105,3
106,1
106,2
106,14
106,5
107,2
107,10
107,3
108,2
108,8
108,9
108,10
108,3
109,1
109,2
109,3
110,1
110,2
110,4
111,2
111,10
111,3
112,1
112,14
112,15
112,7
112,19
113,1
113,2
113,4
114,1
114,2
114,20
114,14
114,15
114,7
114,19
115,2
115,10
115,3
115,12
116,2
116,10
116,3
116,12
117,1
117,14
118,14
118,18
118,4
119,2
119,9
119,10
119,3
120,8
120,9
120,10
120,3
121,1
121,2
122,1
122,2
122,8
122,9
122,10
123,2
123,9
123,10
123,3
124,1
124,2
124,3
124,4
124,5
125,1
125,4
126,2
126,8
126,9
126,10
126,3
126,11
127,1
127,4
128,1
128,2
128,3
129,1
129,2
129,4
129,5
130,12
130,5
131,1
131,2
131,3
132,2
132,8
132,9
132,14
132,10
133,1
133,2
133,8
133,9
133,10
133,3
133,4
134,1
134,2
134,3
135,9
135,3
135,18
136,1
136,2
136,5
137,14
137,3
137,18
137,5
138,1
138,2
138,14
138,7
139,2
139,8
139,9
139,10
140,1
140,2
140,8
140,9
140,10
141,1
141,2
141,10
141,3
142,1
142,2
142,5
143,1
143,14
143,5
144,1
144,2
144,8
144,9
144,10
144,4
145,2
145,8
145,9
145,10
146,2
146,10
146,3
147,2
147,8
147,9
147,10
147,4
148,2
149,2
149,8
149,9
149,10
150,1
150,2
150,5
151,1
151,9
151,3
151,4
152,1
152,2
152,4
152,5
153,1
153,2
153,9
153,10
153,3
153,12
153,4
154,1
154,2
154,8
154,3
155,1
155,2
155,8
155,9
155,10
156,1
156,2
156,5
157,2
157,8
157,10
157,3
158,9
158,17
159,1
159,14
159,15
159,19
160,1
160,2
160,14
161,1
161,2
161,4
162,1
162,2
162,3
162,7
163,1
163,2
163,8
163,9
163,10
163,3
164,1
164,2
164,3
165,1
165,2
165,4
165,5
166,1
166,14
166,12
166,4
167,1
167,17
167,5
168,1
168,4
169,1
169,2
169,4
169,5
170,1
170,2
170,9
170,5
171,1
171,2
171,8
171,3
171,7
171,4
172,1
172,2
172,4
173,1
173,2
173,5
174,1
174,2
174,14
174,15
174,19
175,2
175,14
175,3
175,7
176,8
176,9
176,10
176,11
177,1
177,2
177,4
178,1
178,17
178,14
178,12
178,5
179,2
179,10
179,3
180,2
180,14
180,5
180,13
181,2
181,8
181,9
181,10
181,16
182,2
182,8
182,9
182,10
182,13
183,2
183,8
183,9
183,10
184,1
184,12
184,5
185,1
185,2
185,8
185,9
185,10
186,1
186,2
186,9
186,4
187,2
187,4
187,5
188,2
188,14
188,3
188,7
189,2
189,8
189,9
189,10
189,3
189,4
190,2
190,4
190,5
191,1
191,9
191,17
191,5
192,1
192,2
192,8
192,9
192,10
192,3
193,1
193,17
193,12
193,5
194,1
194,2
194,14
195,1
195,2
195,10
195,12
196,2
196,10
196,3
196,12
197,2
197,14
197,7
197,19
198,1
198,2
198,4
199,2
199,8
199,10
199,5
200,1
200,3
201,2
201,9
201,10
201,3
202,1
202,8
202,9
202,10
202,4
203,2
203,10
203,3
204,1
204,9
204,3
205,1
205,2
205,14
205,18
205,4
206,1
206,2
206,3
207,3
208,2
208,4
208,5
209,12
209,5
210,2
210,8
210,9
210,10
210,11
211,1
211,2
211,3
211,4
211,5
212,1
212,17
212,5
213,1
213,2
213,17
213,12
213,5
214,1
214,2
214,3
215,1
215,4
216,1
216,2
216,15
217,1
217,2
217,5
218,1
219,9
219,10
219,3
220,1
220,2
220,4
220,5
221,1
221,2
221,5
222,1
222,2
222,14
222,5
223,1
223,2
223,4
223,5
224,2
224,14
224,3
225,1
225,3
225,5
226,1
226,5
227,1
227,2
227,9
227,17
228,2
228,12
228,4
229,2
229,8
229,9
229,10
229,3
230,1
230,14
230,4
230,5
231,1
231,2
231,4
231,5
232,1
232,17
232,4
232,5
233,1
233,10
233,16
234,9
234,14
234,7
235,1
235,9
235,7
236,1
236,2
236,12
236,4
237,1
237,2
237,3
237,4
238,1
238,2
238,3
238,4
239,2
239,8
239,9
239,10
239,3
240,1
240,2
240,4
240,5
241,1
241,2
241,3
241,4
242,2
242,8
242,9
242,10
242,3
243,2
243,9
243,10
243,3
244,1
244,14
244,19
245,1
245,2
245,14
245,3
246,1
246,2
246,9
246,4
247,2
247,14
247,4
247,5
248,1
248,2
248,5
249,1
249,2
249,9
249,4
250,1
250,2
250,4
251,1
251,2
251,9
251,10
251,3
252,1
252,2
252,14
252,5
253,1
253,2
253,5
254,1
254,14
254,15
254,19
255,17
255,5
256,1
256,9
256,17
256,7
256,5
257,2
257,4
257,5
258,20
258,14
259,2
259,9
259,10
259,3
260,1
260,9
260,17
260,4
260,5
261,1
261,2
261,17
262,1
262,14
262,3
262,19
263,2
263,8
263,9
263,10
263,3
264,8
264,9
264,10
264,21
264,13
265,1
265,2
265,12
265,4
265,5
266,1
266,14
266,4
266,16
267,2
267,8
267,9
267,10
267,3
268,1
268,17
268,7
268,5
269,1
269,4
270,1
270,2
270,5
271,1
271,2
271,14
271,3
272,1
272,2
272,9
273,20
273,14
273,16
274,2
274,9
274,10
274,3
275,1
275,12
275,4
275,5
276,1
276,2
276,14
276,15
276,19
277,2
277,9
277,10
277,3
278,8
278,10
278,3
278,11
278,7
279,2
279,14
279,4
280,9
281,1
281,2
281,7
281,4
281,5
282,9
282,7
283,1
283,17
283,5
284,1
284,14
284,7
285,1
285,12
285,4
285,5
286,2
286,10
286,3
286,12
287,1
287,2
287,5
288,1
288,2
288,4
288,5
289,1
289,4
290,20
290,17
290,14
290,15
290,7
291,20
291,17
291,14
292,1
292,9
292,5
293,1
293,17
293,5
294,9
294,7
295,1
295,9
295,17
296,1
296,14
296,12
296,5
297,14
297,13
298,8
298,14
298,10
298,11
298,7
299,2
299,8
299,9
299,10
299,3
300,1
300,2
300,5
301,1
301,2
301,9
301,10
301,12
302,1
302,2
302,10
302,3
303,2
303,14
303,10
303,3
304,2
304,10
304,3
305,2
305,8
305,10
305,3
306,1
306,7
306,5
307,1
307,3
307,18
307,12
308,2
308,14
308,5
309,20
309,9
309,17
309,14
310,1
310,2
310,3
311,1
311,4
311,19
312,14
312,4
313,1
313,2
313,8
313,10
313,3
314,1
314,17
314,3
314,7
314,5
315,1
315,2
316,2
316,8
316,10
316,4
317,2
317,9
317,4
318,1
318,2
318,5
319,1
319,17
319,16
319,5
320,9
320,10
320,3
321,1
321,2
321,20
321,14
321,15
321,5
322,1
322,9
322,4
323,1
323,14
323,5
323,19
324,2
324,8
324,9
324,10
325,14
325,12
325,5
326,1
326,2
326,3
326,5
327,17
327,14
328,14
328,15
328,7
328,19
329,8
329,9
329,10
329,16
330,9
330,4
330,5
331,14
331,15
331,19
332,9
333,1
333,2
333,4
334,9
334,14
334,7
335,2
335,8
335,9
335,10
335,7
336,2
336,8
336,9
336,10
337,14
337,10
337,3
337,7
338,14
338,3
338,5
339,2
339,8
339,9
339,10
340,1
340,2
340,14
340,3
341,1
341,2
341,14
341,3
342,1
342,2
342,3
343,1
343,2
343,3
343,5
344,14
344,12
344,7
344,4
344,5
345,1
345,2
345,4
345,5
346,1
346,14
346,4
346,5
347,2
347,10
347,3
348,1
348,5
349,14
349,15
349,19
349,13
350,1
350,2
350,8
350,10
351,1
351,2
351,9
352,2
352,10
352,3
353,2
353,9
353,10
353,12
353,4
354,2
354,8
354,9
354,10
354,3
355,1
355,5
356,1
356,9
356,17
356,5
357,14
357,3
357,18
357,12
357,5
358,8
358,9
358,10
358,4
359,1
359,2
359,8
359,9
359,10
360,2
360,9
360,14
360,3
360,7
361,1
361,2
361,9
361,17
361,5
362,17
362,14
362,5
363,2
363,8
363,10
363,3
363,11
363,19
364,1
364,9
365,17
365,14
365,12
365,5
366,1
366,2
366,5
367,1
367,2
367,17
367,12
367,5
368,2
368,14
368,15
369,1
369,2
369,8
369,10
369,3
369,4
370,2
370,8
370,9
370,10
370,3
370,21
371,14
371,15
371,5
371,19
372,1
372,9
373,1
373,8
373,9
373,4
374,2
374,14
374,4
375,9
375,10
375,3
375,18
375,12
376,14
376,12
376,4
376,5
377,1
377,18
377,4
377,5
378,17
378,12
378,5
379,2
379,10
379,3
380,1
380,2
380,3
381,1
381,2
381,9
381,17
381,12
381,5
382,1
382,2
382,7
382,4
382,5
383,1
383,17
383,5
384,2
384,4
384,5
385,2
385,8
385,9
385,10
385,11
386,9
386,14
386,4
387,1
387,14
387,4
387,5
388,1
388,17
388,14
388,5
389,14
389,15
389,5
389,19
390,1
390,2
390,4
391,2
391,3
392,20
392,14
392,16
393,1
393,10
393,3
393,11
394,14
394,15
394,16
395,1
395,2
395,14
395,5
396,1
396,17
396,5
397,2
397,14
397,7
398,8
398,9
398,10
398,21
398,7
399,1
399,12
399,5
400,1
400,2
400,14
400,5
401,17
401,5
402,1
402,2
402,7
403,8
403,9
403,10
403,3
404,8
404,9
404,10
404,3
404,11
404,7
405,17
405,14
405,18
405,12
405,5
406,1
406,17
406,12
406,5
407,2
407,9
407,10
408,1
408,9
408,17
409,9
409,7
410,1
410,17
410,14
410,12
410,5
411,9
411,14
411,7
412,17
412,5
413,2
413,8
413,9
413,10
414,2
414,12
414,4
415,14
415,15
415,19
416,1
416,2
416,9
416,5
417,1
417,2
417,9
417,3
418,14
418,7
419,1
419,17
419,5
420,2
420,8
420,9
420,10
420,3
421,14
421,3
421,7
422,1
422,14
422,5
423,9
423,14
423,21
423,11
424,2
424,9
424,14
424,10
424,3
425,1
425,9
425,3
425,7
426,1
426,2
426,4
426,5
427,9
427,7
427,4
428,2
428,9
428,12
429,1
429,4
430,9
430,14
430,3
430,7
431,9
431,3
431,18
432,1
432,9
432,10
432,3
433,1
433,2
433,4
433,5
434,1
434,2
434,3
434,18
434,4
435,17
435,14
435,15
435,12
435,5
436,1
436,12
436,4
436,5
437,9
437,14
438,1
438,2
438,5
439,1
439,2
439,5
440,2
440,14
440,4
440,5
441,9
442,1
443,2
443,8
443,9
443,10
444,2
444,8
444,9
444,14
444,10
444,3
444,4
445,9
445,10
445,3
446,1
